mode,n,k,d,time_ms,gflops,check
gpu-intra,1024,4096,1,0.0154,546.13,ok
gpu-intra,4096,4096,1,0.0154,2184.53,ok
gpu-intra,16384,4096,1,0.0174,7710.12,ok
gpu-intra,65536,4096,1,0.0420,12787.51,ok
gpu-intra,262144,4096,1,0.1843,11650.84,ok
gpu-intra,1048576,4096,1,0.5161,16644.06,ok
gpu-intra,4194304,4096,1,2.0458,16795.59,ok
gpu-intra,16777216,4096,1,8.0538,17065.19,ok
gpu-intra,67108864,4096,1,29.5270,18618.72,ok
cpu-omp,1024,4096,1,1.2972,6.47,ok
cpu-omp,4096,4096,1,3.6603,9.17,ok
cpu-omp,16384,4096,1,11.4975,11.67,ok
cpu-omp,65536,4096,1,35.8052,14.99,ok
cpu-omp,262144,4096,1,131.4382,16.34,ok
cpu-omp,1048576,4096,1,525.8514,16.34,ok
cpu-omp,4194304,4096,1,2055.2345,16.72,ok
cpu,1024,4096,1,6.0504,1.39,ok
cpu,4096,4096,1,24.0159,1.40,ok
cpu,16384,4096,1,97.7356,1.37,ok
cpu,65536,4096,1,385.3198,1.39,ok
cpu,262144,4096,1,1537.5011,1.40,ok
cpu,1048576,4096,1,6201.1290,1.39,ok
