mode,n,k,d,time_ms,gflops,check
gpu-intra,16777216,4096,1,8.3835,16394.01,ok
gpu-intra,16777216,4096,2,14.8449,9258.31,ok
gpu-intra,16777216,4096,4,29.5987,4643.41,ok
gpu-intra,16777216,4096,8,59.0705,2326.69,ok
gpu-intra,16777216,4096,16,118.4993,1159.83,ok
gpu-intra,16777216,4096,32,238.2858,576.78,ok
gpu-warpuniform,16777216,4096,1,7.4230,18515.34,ok
gpu-warpuniform,16777216,4096,2,7.6810,17893.31,ok
gpu-warpuniform,16777216,4096,4,7.7158,17812.57,ok
gpu-warpuniform,16777216,4096,8,7.6093,18061.87,ok
gpu-warpuniform,16777216,4096,16,7.8991,17399.24,ok
gpu-warpuniform,16777216,4096,32,7.9299,17331.84,ok
cpu-omp,16777216,4096,1,8397.3712,16.37,ok
cpu-omp,16777216,4096,2,8325.4458,16.51,ok
cpu-omp,16777216,4096,4,8354.9583,16.45,ok
cpu-omp,16777216,4096,8,8404.8504,16.35,ok
cpu-omp,16777216,4096,16,8387.3654,16.39,ok
cpu-omp,16777216,4096,32,8372.5560,16.42,ok
